StageHistoryID,OpportunityID,StageNo,Stage,EnteredOn,ExitedOn,DaysInStage
STH-0086721,OPP-020749,7,7-Closed Lost,2025-03-26 11:46:09,,
STH-0086722,OPP-020750,1,1-Enquiry,2025-03-27 05:40:24,2025-03-29 11:58:57,2.26
STH-0086723,OPP-020750,7,7-Closed Lost,2025-03-29 11:58:57,,
STH-0086724,OPP-020751,1,1-Enquiry,2025-03-26 23:01:04,2025-03-27 20:56:44,0.91
STH-0086725,OPP-020751,2,2-Test Drive / Demo,2025-03-27 20:56:44,2025-03-28 01:35:23,0.19
STH-0086726,OPP-020751,3,3-Quotation,2025-03-28 01:35:23,2025-03-28 13:15:50,0.49
STH-0086727,OPP-020751,7,7-Closed Lost,2025-03-28 13:15:50,,
STH-0086728,OPP-020752,1,1-Enquiry,2025-03-25 08:05:26,2025-03-26 07:09:37,0.96
STH-0086729,OPP-020752,2,2-Test Drive / Demo,2025-03-26 07:09:37,2025-03-30 06:38:25,3.98
STH-0086730,OPP-020752,3,3-Quotation,2025-03-30 06:38:25,2025-04-01 10:59:06,2.18
STH-0086731,OPP-020752,4,4-Negotiation,2025-04-01 10:59:06,2025-04-06 22:56:33,5.5
STH-0086732,OPP-020752,7,7-Closed Lost,2025-04-06 22:56:33,,
STH-0086733,OPP-020753,1,1-Enquiry,2025-03-26 08:28:20,2025-03-31 18:01:57,5.4
STH-0086734,OPP-020753,2,2-Test Drive / Demo,2025-03-31 18:01:57,2025-04-03 13:52:51,2.83
STH-0086735,OPP-020753,3,3-Quotation,2025-04-03 13:52:51,,
STH-0086736,OPP-020754,1,1-Enquiry,2025-03-30 06:25:07,2025-03-31 04:56:07,0.94
STH-0086737,OPP-020754,2,2-Test Drive / Demo,2025-03-31 04:56:07,2025-04-01 11:10:27,1.26
STH-0086738,OPP-020754,3,3-Quotation,2025-04-01 11:10:27,2025-04-07 11:33:40,6.02
STH-0086739,OPP-020754,4,4-Negotiation,2025-04-07 11:33:40,2025-04-13 18:06:19,6.27
STH-0086740,OPP-020754,7,7-Closed Lost,2025-04-13 18:06:19,,
STH-0086741,OPP-020755,1,1-Enquiry,2025-03-27 17:24:05,2025-03-29 05:43:31,1.51
STH-0086742,OPP-020755,7,7-Closed Lost,2025-03-29 05:43:31,,
STH-0086743,OPP-020756,1,1-Enquiry,2025-03-27 12:32:28,2025-03-29 23:10:11,2.44
STH-0086744,OPP-020756,2,2-Test Drive / Demo,2025-03-29 23:10:11,2025-04-01 18:04:16,2.79
STH-0086745,OPP-020756,3,3-Quotation,2025-04-01 18:04:16,2025-04-03 10:08:28,1.67
STH-0086746,OPP-020756,4,4-Negotiation,2025-04-03 10:08:28,2025-04-05 22:44:21,2.52
STH-0086747,OPP-020756,5,5-Booking / PO,2025-04-05 22:44:21,2025-04-15 15:39:04,9.7
STH-0086748,OPP-020756,6,6-Closed Won,2025-04-15 15:39:04,,
STH-0086749,OPP-020757,1,1-Enquiry,2025-03-29 03:04:27,2025-03-30 07:07:51,1.17
STH-0086750,OPP-020757,2,2-Test Drive / Demo,2025-03-30 07:07:51,2025-03-31 06:05:01,0.96
STH-0086751,OPP-020757,3,3-Quotation,2025-03-31 06:05:01,2025-04-10 08:35:29,10.1
STH-0086752,OPP-020757,4,4-Negotiation,2025-04-10 08:35:29,2025-04-14 11:00:46,4.1
STH-0086753,OPP-020757,5,5-Booking / PO,2025-04-14 11:00:46,2025-04-27 19:33:44,13.36
STH-0086754,OPP-020757,6,6-Closed Won,2025-04-27 19:33:44,,
STH-0086755,OPP-020758,1,1-Enquiry,2025-03-24 22:19:59,2025-03-28 19:35:33,3.89
STH-0086756,OPP-020758,7,7-Closed Lost,2025-03-28 19:35:33,,
STH-0086757,OPP-020759,1,1-Enquiry,2025-03-25 21:28:44,2025-03-28 22:09:55,3.03
STH-0086758,OPP-020759,7,7-Closed Lost,2025-03-28 22:09:55,,
STH-0086759,OPP-020760,1,1-Enquiry,2025-03-25 00:10:08,2025-03-28 20:20:43,3.84
STH-0086760,OPP-020760,2,2-Test Drive / Demo,2025-03-28 20:20:43,2025-03-30 21:00:15,2.03
STH-0086761,OPP-020760,3,3-Quotation,2025-03-30 21:00:15,2025-04-06 04:48:55,6.33
STH-0086762,OPP-020760,7,7-Closed Lost,2025-04-06 04:48:55,,
STH-0086763,OPP-020761,1,1-Enquiry,2025-03-27 22:25:12,2025-03-30 11:48:07,2.56
STH-0086764,OPP-020761,2,2-Test Drive / Demo,2025-03-30 11:48:07,2025-04-02 14:37:37,3.12
STH-0086765,OPP-020761,3,3-Quotation,2025-04-02 14:37:37,2025-04-06 16:30:00,4.08
STH-0086766,OPP-020761,7,7-Closed Lost,2025-04-06 16:30:00,,
STH-0086767,OPP-020762,1,1-Enquiry,2025-03-29 03:36:07,2025-04-01 06:06:13,3.1
STH-0086768,OPP-020762,2,2-Test Drive / Demo,2025-04-01 06:06:13,2025-04-08 14:50:16,7.36
STH-0086769,OPP-020762,3,3-Quotation,2025-04-08 14:50:16,2025-04-14 13:41:58,5.95
STH-0086770,OPP-020762,4,4-Negotiation,2025-04-14 13:41:58,2025-04-19 06:01:17,4.68
STH-0086771,OPP-020762,5,5-Booking / PO,2025-04-19 06:01:17,2025-05-09 10:31:52,20.19
STH-0086772,OPP-020762,6,6-Closed Won,2025-05-09 10:31:52,,
STH-0086773,OPP-020763,1,1-Enquiry,2025-03-24 23:30:16,2025-03-27 18:35:53,2.8
STH-0086774,OPP-020763,7,7-Closed Lost,2025-03-27 18:35:53,,
STH-0086775,OPP-020764,1,1-Enquiry,2025-04-10 11:51:13,2025-04-11 13:28:37,1.07
STH-0086776,OPP-020764,7,7-Closed Lost,2025-04-11 13:28:37,,
STH-0086777,OPP-020765,1,1-Enquiry,2025-03-28 16:16:41,2025-03-31 15:34:45,2.97
STH-0086778,OPP-020765,2,2-Test Drive / Demo,2025-03-31 15:34:45,2025-04-06 23:22:18,6.32
STH-0086779,OPP-020765,3,3-Quotation,2025-04-06 23:22:18,2025-04-07 09:18:14,0.41
STH-0086780,OPP-020765,4,4-Negotiation,2025-04-07 09:18:14,2025-04-14 07:35:38,6.93
STH-0086781,OPP-020765,5,5-Booking / PO,2025-04-14 07:35:38,2025-05-05 19:43:27,21.51
STH-0086782,OPP-020765,6,6-Closed Won,2025-05-05 19:43:27,,
STH-0086783,OPP-020766,1,1-Enquiry,2025-03-28 16:11:08,2025-03-31 02:58:23,2.45
STH-0086784,OPP-020766,2,2-Test Drive / Demo,2025-03-31 02:58:23,2025-04-04 17:07:30,4.59
STH-0086785,OPP-020766,3,3-Quotation,2025-04-04 17:07:30,2025-04-08 03:26:39,3.43
STH-0086786,OPP-020766,4,4-Negotiation,2025-04-08 03:26:39,2025-04-13 03:23:09,5.0
STH-0086787,OPP-020766,5,5-Booking / PO,2025-04-13 03:23:09,2025-04-24 06:43:31,11.14
STH-0086788,OPP-020766,6,6-Closed Won,2025-04-24 06:43:31,,
STH-0086789,OPP-020767,1,1-Enquiry,2025-03-28 16:13:33,2025-03-31 01:47:35,2.4
STH-0086790,OPP-020767,2,2-Test Drive / Demo,2025-03-31 01:47:35,2025-04-02 08:22:22,2.27
STH-0086791,OPP-020767,3,3-Quotation,2025-04-02 08:22:22,2025-04-03 18:42:02,1.43
STH-0086792,OPP-020767,4,4-Negotiation,2025-04-03 18:42:02,2025-04-07 14:32:28,3.83
STH-0086793,OPP-020767,7,7-Closed Lost,2025-04-07 14:32:28,,
STH-0086794,OPP-020768,1,1-Enquiry,2025-03-28 03:17:04,2025-03-30 02:06:33,1.95
STH-0086795,OPP-020768,2,2-Test Drive / Demo,2025-03-30 02:06:33,2025-03-31 05:34:40,1.14
STH-0086796,OPP-020768,3,3-Quotation,2025-03-31 05:34:40,2025-04-05 17:45:05,5.51
STH-0086797,OPP-020768,4,4-Negotiation,2025-04-05 17:45:05,2025-04-07 19:57:49,2.09
STH-0086798,OPP-020768,7,7-Closed Lost,2025-04-07 19:57:49,,
STH-0086799,OPP-020769,1,1-Enquiry,2025-03-30 18:41:24,2025-04-01 19:35:22,2.04
STH-0086800,OPP-020769,2,2-Test Drive / Demo,2025-04-01 19:35:22,2025-04-02 12:25:14,0.7
STH-0086801,OPP-020769,3,3-Quotation,2025-04-02 12:25:14,2025-04-06 18:07:11,4.24
STH-0086802,OPP-020769,4,4-Negotiation,2025-04-06 18:07:11,2025-04-15 05:44:55,8.48
STH-0086803,OPP-020769,7,7-Closed Lost,2025-04-15 05:44:55,,
STH-0086804,OPP-020770,1,1-Enquiry,2025-03-28 13:00:11,2025-04-01 21:05:46,4.34
STH-0086805,OPP-020770,7,7-Closed Lost,2025-04-01 21:05:46,,
STH-0086806,OPP-020771,1,1-Enquiry,2025-04-07 13:34:29,2025-04-10 19:41:52,3.26
STH-0086807,OPP-020771,2,2-Test Drive / Demo,2025-04-10 19:41:52,2025-04-22 19:19:51,11.98
STH-0086808,OPP-020771,3,3-Quotation,2025-04-22 19:19:51,2025-04-24 17:36:21,1.93
STH-0086809,OPP-020771,4,4-Negotiation,2025-04-24 17:36:21,2025-05-10 09:54:46,15.68
STH-0086810,OPP-020771,7,7-Closed Lost,2025-05-10 09:54:46,,
STH-0086811,OPP-020772,1,1-Enquiry,2025-03-29 19:46:18,2025-03-31 16:31:45,1.86
STH-0086812,OPP-020772,2,2-Test Drive / Demo,2025-03-31 16:31:45,2025-04-02 22:20:51,2.24
STH-0086813,OPP-020772,3,3-Quotation,2025-04-02 22:20:51,2025-04-05 22:58:08,3.03
STH-0086814,OPP-020772,4,4-Negotiation,2025-04-05 22:58:08,2025-04-06 19:17:24,0.85
STH-0086815,OPP-020772,7,7-Closed Lost,2025-04-06 19:17:24,,
STH-0086816,OPP-020773,1,1-Enquiry,2025-04-07 23:59:29,2025-04-10 19:56:12,2.83
STH-0086817,OPP-020773,7,7-Closed Lost,2025-04-10 19:56:12,,
STH-0086818,OPP-020774,1,1-Enquiry,2025-04-08 18:08:36,2025-04-18 06:11:03,9.5
STH-0086819,OPP-020774,2,2-Test Drive / Demo,2025-04-18 06:11:03,2025-04-27 14:46:50,9.36
STH-0086820,OPP-020774,3,3-Quotation,2025-04-27 14:46:50,2025-04-29 02:06:57,1.47
STH-0086821,OPP-020774,4,4-Negotiation,2025-04-29 02:06:57,2025-05-18 00:22:53,18.93
STH-0086822,OPP-020774,5,5-Booking / PO,2025-05-18 00:22:53,2025-06-22 04:16:13,35.16
STH-0086823,OPP-020774,6,6-Closed Won,2025-06-22 04:16:13,,
STH-0086824,OPP-020775,1,1-Enquiry,2025-03-30 21:23:17,2025-04-03 00:56:11,3.15
STH-0086825,OPP-020775,2,2-Test Drive / Demo,2025-04-03 00:56:11,2025-04-05 05:25:23,2.19
STH-0086826,OPP-020775,3,3-Quotation,2025-04-05 05:25:23,2025-04-09 15:50:51,4.43
STH-0086827,OPP-020775,7,7-Closed Lost,2025-04-09 15:50:51,,
STH-0086828,OPP-020776,1,1-Enquiry,2025-04-02 00:44:43,2025-04-23 14:46:30,21.58
STH-0086829,OPP-020776,2,2-Test Drive / Demo,2025-04-23 14:46:30,2025-04-30 17:02:20,7.09
STH-0086830,OPP-020776,7,7-Closed Lost,2025-04-30 17:02:20,,
STH-0086831,OPP-020777,1,1-Enquiry,2025-03-27 04:41:13,2025-03-28 04:42:45,1.0
STH-0086832,OPP-020777,2,2-Test Drive / Demo,2025-03-28 04:42:45,2025-04-03 05:31:35,6.03
STH-0086833,OPP-020777,3,3-Quotation,2025-04-03 05:31:35,2025-04-05 03:58:03,1.94
STH-0086834,OPP-020777,4,4-Negotiation,2025-04-05 03:58:03,2025-04-06 18:18:26,1.6
STH-0086835,OPP-020777,5,5-Booking / PO,2025-04-06 18:18:26,2025-05-13 20:24:16,37.09
STH-0086836,OPP-020777,7,7-Closed Lost,2025-05-13 20:24:16,,
STH-0086837,OPP-020778,1,1-Enquiry,2025-03-30 00:49:31,2025-04-03 11:00:27,4.42
STH-0086838,OPP-020778,2,2-Test Drive / Demo,2025-04-03 11:00:27,2025-04-07 05:02:14,3.75
STH-0086839,OPP-020778,3,3-Quotation,2025-04-07 05:02:14,2025-04-07 08:56:12,0.16
STH-0086840,OPP-020778,7,7-Closed Lost,2025-04-07 08:56:12,,
STH-0086841,OPP-020779,1,1-Enquiry,2025-03-26 07:12:38,2025-03-28 00:57:01,1.74
STH-0086842,OPP-020779,7,7-Closed Lost,2025-03-28 00:57:01,,
STH-0086843,OPP-020780,1,1-Enquiry,2025-03-30 12:23:39,2025-03-31 14:37:15,1.09
STH-0086844,OPP-020780,7,7-Closed Lost,2025-03-31 14:37:15,,
STH-0086845,OPP-020781,1,1-Enquiry,2025-03-30 05:17:08,2025-03-31 13:11:19,1.33
STH-0086846,OPP-020781,2,2-Test Drive / Demo,2025-03-31 13:11:19,2025-04-01 17:04:16,1.16
STH-0086847,OPP-020781,7,7-Closed Lost,2025-04-01 17:04:16,,
STH-0086848,OPP-020782,1,1-Enquiry,2025-03-25 16:09:02,2025-03-29 09:49:55,3.74
STH-0086849,OPP-020782,2,2-Test Drive / Demo,2025-03-29 09:49:55,2025-03-30 16:46:12,1.29
STH-0086850,OPP-020782,3,3-Quotation,2025-03-30 16:46:12,,
STH-0086851,OPP-020783,1,1-Enquiry,2025-03-27 18:24:42,2025-03-30 17:24:11,2.96
STH-0086852,OPP-020783,2,2-Test Drive / Demo,2025-03-30 17:24:11,2025-03-31 17:33:10,1.01
STH-0086853,OPP-020783,3,3-Quotation,2025-03-31 17:33:10,2025-04-01 20:25:44,1.12
STH-0086854,OPP-020783,4,4-Negotiation,2025-04-01 20:25:44,2025-04-04 16:24:24,2.83
STH-0086855,OPP-020783,5,5-Booking / PO,2025-04-04 16:24:24,2025-04-24 03:04:42,19.44
STH-0086856,OPP-020783,6,6-Closed Won,2025-04-24 03:04:42,,
STH-0086857,OPP-020784,1,1-Enquiry,2025-03-25 14:50:31,2025-03-26 08:48:29,0.75
STH-0086858,OPP-020784,2,2-Test Drive / Demo,2025-03-26 08:48:29,2025-03-31 20:38:48,5.49
STH-0086859,OPP-020784,3,3-Quotation,2025-03-31 20:38:48,2025-04-02 19:15:40,1.94
STH-0086860,OPP-020784,4,4-Negotiation,2025-04-02 19:15:40,2025-04-10 14:08:48,7.79
STH-0086861,OPP-020784,5,5-Booking / PO,2025-04-10 14:08:48,2025-04-26 12:45:58,15.94
STH-0086862,OPP-020784,6,6-Closed Won,2025-04-26 12:45:58,,
STH-0086863,OPP-020785,1,1-Enquiry,2025-03-28 09:35:07,2025-03-31 12:17:01,3.11
STH-0086864,OPP-020785,2,2-Test Drive / Demo,2025-03-31 12:17:01,2025-04-07 12:28:33,7.01
STH-0086865,OPP-020785,3,3-Quotation,2025-04-07 12:28:33,2025-04-15 22:08:18,8.4
STH-0086866,OPP-020785,4,4-Negotiation,2025-04-15 22:08:18,2025-04-18 02:21:57,2.18
STH-0086867,OPP-020785,5,5-Booking / PO,2025-04-18 02:21:57,2025-04-30 05:20:30,12.12
STH-0086868,OPP-020785,6,6-Closed Won,2025-04-30 05:20:30,,
STH-0086869,OPP-020786,1,1-Enquiry,2025-03-27 18:15:02,2025-03-28 22:31:11,1.18
STH-0086870,OPP-020786,2,2-Test Drive / Demo,2025-03-28 22:31:11,2025-03-29 07:59:02,0.39
STH-0086871,OPP-020786,3,3-Quotation,2025-03-29 07:59:02,2025-04-02 10:47:59,4.12
STH-0086872,OPP-020786,4,4-Negotiation,2025-04-02 10:47:59,2025-04-07 06:07:28,4.81
STH-0086873,OPP-020786,7,7-Closed Lost,2025-04-07 06:07:28,,
STH-0086874,OPP-020787,1,1-Enquiry,2025-03-26 17:39:14,2025-03-27 18:28:43,1.03
STH-0086875,OPP-020787,2,2-Test Drive / Demo,2025-03-27 18:28:43,2025-03-30 01:57:24,2.31
STH-0086876,OPP-020787,3,3-Quotation,2025-03-30 01:57:24,2025-04-02 11:36:50,3.4
STH-0086877,OPP-020787,4,4-Negotiation,2025-04-02 11:36:50,2025-04-14 06:33:12,11.79
STH-0086878,OPP-020787,7,7-Closed Lost,2025-04-14 06:33:12,,
STH-0086879,OPP-020788,1,1-Enquiry,2025-03-25 19:22:18,2025-03-26 20:33:34,1.05
STH-0086880,OPP-020788,2,2-Test Drive / Demo,2025-03-26 20:33:34,2025-03-28 15:55:25,1.81
STH-0086881,OPP-020788,3,3-Quotation,2025-03-28 15:55:25,2025-04-01 00:20:22,3.35
STH-0086882,OPP-020788,7,7-Closed Lost,2025-04-01 00:20:22,,
STH-0086883,OPP-020789,1,1-Enquiry,2025-03-31 12:02:38,2025-04-02 02:12:48,1.59
STH-0086884,OPP-020789,2,2-Test Drive / Demo,2025-04-02 02:12:48,2025-04-10 16:58:58,8.62
STH-0086885,OPP-020789,7,7-Closed Lost,2025-04-10 16:58:58,,
STH-0086886,OPP-020790,1,1-Enquiry,2025-03-27 03:53:19,2025-03-30 18:29:32,3.61
STH-0086887,OPP-020790,2,2-Test Drive / Demo,2025-03-30 18:29:32,2025-04-02 19:24:33,3.04
STH-0086888,OPP-020790,7,7-Closed Lost,2025-04-02 19:24:33,,
STH-0086889,OPP-020791,1,1-Enquiry,2025-03-27 22:33:25,2025-03-30 03:42:26,2.21
STH-0086890,OPP-020791,7,7-Closed Lost,2025-03-30 03:42:26,,
STH-0086891,OPP-020792,1,1-Enquiry,2025-03-29 23:56:31,2025-04-04 21:21:38,5.89
STH-0086892,OPP-020792,2,2-Test Drive / Demo,2025-04-04 21:21:38,2025-04-10 10:19:07,5.54
STH-0086893,OPP-020792,3,3-Quotation,2025-04-10 10:19:07,2025-04-14 07:00:43,3.86
STH-0086894,OPP-020792,4,4-Negotiation,2025-04-14 07:00:43,2025-04-17 20:56:33,3.58
STH-0086895,OPP-020792,7,7-Closed Lost,2025-04-17 20:56:33,,
STH-0086896,OPP-020793,1,1-Enquiry,2025-03-25 15:42:50,2025-03-26 03:33:58,0.49
STH-0086897,OPP-020793,2,2-Test Drive / Demo,2025-03-26 03:33:58,2025-03-27 00:17:09,0.86
STH-0086898,OPP-020793,7,7-Closed Lost,2025-03-27 00:17:09,,
STH-0086899,OPP-020794,1,1-Enquiry,2025-03-25 21:42:27,2025-03-28 12:26:53,2.61
STH-0086900,OPP-020794,2,2-Test Drive / Demo,2025-03-28 12:26:53,2025-03-30 17:27:35,2.21
STH-0086901,OPP-020794,3,3-Quotation,2025-03-30 17:27:35,2025-04-02 17:59:43,3.02
STH-0086902,OPP-020794,4,4-Negotiation,2025-04-02 17:59:43,2025-04-09 10:45:20,6.7
STH-0086903,OPP-020794,5,5-Booking / PO,2025-04-09 10:45:20,2025-04-19 02:47:38,9.67
STH-0086904,OPP-020794,6,6-Closed Won,2025-04-19 02:47:38,,
STH-0086905,OPP-020795,1,1-Enquiry,2025-03-28 04:02:45,2025-03-30 15:07:03,2.46
STH-0086906,OPP-020795,7,7-Closed Lost,2025-03-30 15:07:03,,
STH-0086907,OPP-020796,1,1-Enquiry,2025-03-28 13:03:42,2025-03-29 16:39:37,1.15
STH-0086908,OPP-020796,2,2-Test Drive / Demo,2025-03-29 16:39:37,2025-04-01 00:20:34,2.32
STH-0086909,OPP-020796,3,3-Quotation,2025-04-01 00:20:34,2025-04-04 04:36:01,3.18
STH-0086910,OPP-020796,4,4-Negotiation,2025-04-04 04:36:01,2025-04-07 18:24:19,3.58
STH-0086911,OPP-020796,5,5-Booking / PO,2025-04-07 18:24:19,2025-05-10 10:42:49,32.68
STH-0086912,OPP-020796,6,6-Closed Won,2025-05-10 10:42:49,,
STH-0086913,OPP-020797,1,1-Enquiry,2025-03-30 12:11:17,2025-04-03 00:56:27,3.53
STH-0086914,OPP-020797,2,2-Test Drive / Demo,2025-04-03 00:56:27,2025-04-04 04:35:49,1.15
STH-0086915,OPP-020797,7,7-Closed Lost,2025-04-04 04:35:49,,
STH-0086916,OPP-020798,1,1-Enquiry,2025-03-27 07:41:49,2025-03-29 22:42:56,2.63
STH-0086917,OPP-020798,2,2-Test Drive / Demo,2025-03-29 22:42:56,2025-03-31 23:24:13,2.03
STH-0086918,OPP-020798,7,7-Closed Lost,2025-03-31 23:24:13,,
STH-0086919,OPP-020799,1,1-Enquiry,2025-03-31 20:28:01,2025-04-03 05:35:12,2.38
STH-0086920,OPP-020799,7,7-Closed Lost,2025-04-03 05:35:12,,
STH-0086921,OPP-020800,1,1-Enquiry,2025-03-28 03:49:31,2025-03-30 17:37:19,2.57
STH-0086922,OPP-020800,7,7-Closed Lost,2025-03-30 17:37:19,,
STH-0086923,OPP-020801,1,1-Enquiry,2025-03-27 21:00:02,2025-04-01 02:51:23,4.24
STH-0086924,OPP-020801,2,2-Test Drive / Demo,2025-04-01 02:51:23,2025-04-02 01:54:06,0.96
STH-0086925,OPP-020801,3,3-Quotation,2025-04-02 01:54:06,2025-04-03 08:09:20,1.26
STH-0086926,OPP-020801,4,4-Negotiation,2025-04-03 08:09:20,2025-04-09 11:20:48,6.13
STH-0086927,OPP-020801,5,5-Booking / PO,2025-04-09 11:20:48,2025-05-22 06:49:42,42.81
STH-0086928,OPP-020801,6,6-Closed Won,2025-05-22 06:49:42,,
STH-0086929,OPP-020802,1,1-Enquiry,2025-03-25 21:42:23,2025-03-27 15:57:16,1.76
STH-0086930,OPP-020802,7,7-Closed Lost,2025-03-27 15:57:16,,
STH-0086931,OPP-020803,1,1-Enquiry,2025-03-25 21:11:02,2025-03-27 17:43:07,1.86
STH-0086932,OPP-020803,2,2-Test Drive / Demo,2025-03-27 17:43:07,2025-04-01 07:01:15,4.55
STH-0086933,OPP-020803,3,3-Quotation,2025-04-01 07:01:15,2025-04-03 03:04:47,1.84
STH-0086934,OPP-020803,4,4-Negotiation,2025-04-03 03:04:47,2025-04-05 23:48:49,2.86
STH-0086935,OPP-020803,7,7-Closed Lost,2025-04-05 23:48:49,,
STH-0086936,OPP-020804,1,1-Enquiry,2025-03-29 10:44:35,2025-03-31 01:01:20,1.59
STH-0086937,OPP-020804,2,2-Test Drive / Demo,2025-03-31 01:01:20,2025-03-31 06:07:19,0.21
STH-0086938,OPP-020804,3,3-Quotation,2025-03-31 06:07:19,2025-04-02 07:31:36,2.06
STH-0086939,OPP-020804,4,4-Negotiation,2025-04-02 07:31:36,2025-04-04 02:06:04,1.77
STH-0086940,OPP-020804,5,5-Booking / PO,2025-04-04 02:06:04,2025-05-06 10:04:16,32.33
STH-0086941,OPP-020804,6,6-Closed Won,2025-05-06 10:04:16,,
STH-0086942,OPP-020805,1,1-Enquiry,2025-03-26 00:05:56,2025-03-30 22:23:57,4.93
STH-0086943,OPP-020805,7,7-Closed Lost,2025-03-30 22:23:57,,
STH-0086944,OPP-020806,1,1-Enquiry,2025-03-26 01:29:38,2025-03-28 04:30:39,2.13
STH-0086945,OPP-020806,2,2-Test Drive / Demo,2025-03-28 04:30:39,2025-04-04 19:39:59,7.63
STH-0086946,OPP-020806,3,3-Quotation,2025-04-04 19:39:59,2025-04-04 23:38:43,0.17
STH-0086947,OPP-020806,4,4-Negotiation,2025-04-04 23:38:43,2025-04-07 15:02:58,2.64
STH-0086948,OPP-020806,7,7-Closed Lost,2025-04-07 15:02:58,,
STH-0086949,OPP-020807,1,1-Enquiry,2025-03-30 23:19:33,2025-04-01 00:05:42,1.03
STH-0086950,OPP-020807,2,2-Test Drive / Demo,2025-04-01 00:05:42,2025-04-01 21:47:59,0.9
STH-0086951,OPP-020807,3,3-Quotation,2025-04-01 21:47:59,2025-04-06 08:54:31,4.46
STH-0086952,OPP-020807,4,4-Negotiation,2025-04-06 08:54:31,2025-04-17 06:57:47,10.92
STH-0086953,OPP-020807,5,5-Booking / PO,2025-04-17 06:57:47,2025-05-04 20:06:46,17.55
STH-0086954,OPP-020807,6,6-Closed Won,2025-05-04 20:06:46,,
STH-0086955,OPP-020808,1,1-Enquiry,2025-03-30 22:33:51,2025-03-31 17:41:47,0.8
STH-0086956,OPP-020808,2,2-Test Drive / Demo,2025-03-31 17:41:47,2025-04-01 21:01:39,1.14
STH-0086957,OPP-020808,3,3-Quotation,2025-04-01 21:01:39,2025-04-08 15:27:33,6.77
STH-0086958,OPP-020808,7,7-Closed Lost,2025-04-08 15:27:33,,
STH-0086959,OPP-020809,1,1-Enquiry,2025-03-28 06:35:27,2025-04-01 05:31:56,3.96
STH-0086960,OPP-020809,2,2-Test Drive / Demo,2025-04-01 05:31:56,2025-04-02 12:26:22,1.29
STH-0086961,OPP-020809,3,3-Quotation,2025-04-02 12:26:22,2025-04-08 13:09:39,6.03
STH-0086962,OPP-020809,4,4-Negotiation,2025-04-08 13:09:39,2025-04-14 05:47:19,5.69
STH-0086963,OPP-020809,7,7-Closed Lost,2025-04-14 05:47:19,,
STH-0086964,OPP-020810,1,1-Enquiry,2025-03-31 17:05:31,2025-04-04 03:01:20,3.41
STH-0086965,OPP-020810,2,2-Test Drive / Demo,2025-04-04 03:01:20,2025-04-05 15:19:00,1.51
STH-0086966,OPP-020810,3,3-Quotation,2025-04-05 15:19:00,2025-04-07 12:27:15,1.88
STH-0086967,OPP-020810,7,7-Closed Lost,2025-04-07 12:27:15,,
STH-0086968,OPP-020811,1,1-Enquiry,2025-03-30 08:50:09,2025-04-02 07:59:33,2.96
STH-0086969,OPP-020811,2,2-Test Drive / Demo,2025-04-02 07:59:33,2025-04-02 19:14:16,0.47
STH-0086970,OPP-020811,7,7-Closed Lost,2025-04-02 19:14:16,,
STH-0086971,OPP-020812,1,1-Enquiry,2025-03-31 16:19:43,2025-04-01 00:34:37,0.34
STH-0086972,OPP-020812,2,2-Test Drive / Demo,2025-04-01 00:34:37,2025-04-02 21:36:37,1.88
STH-0086973,OPP-020812,3,3-Quotation,2025-04-02 21:36:37,2025-04-08 16:13:18,5.78
STH-0086974,OPP-020812,4,4-Negotiation,2025-04-08 16:13:18,2025-04-10 03:12:35,1.46
STH-0086975,OPP-020812,5,5-Booking / PO,2025-04-10 03:12:35,2025-04-14 11:24:56,4.34
STH-0086976,OPP-020812,6,6-Closed Won,2025-04-14 11:24:56,,
STH-0086977,OPP-020813,1,1-Enquiry,2025-04-04 08:01:14,2025-04-10 15:03:57,6.29
STH-0086978,OPP-020813,2,2-Test Drive / Demo,2025-04-10 15:03:57,2025-04-25 02:07:45,14.46
STH-0086979,OPP-020813,7,7-Closed Lost,2025-04-25 02:07:45,,
STH-0086980,OPP-020814,1,1-Enquiry,2025-03-27 06:41:30,2025-03-30 09:57:21,3.14
STH-0086981,OPP-020814,2,2-Test Drive / Demo,2025-03-30 09:57:21,2025-04-01 06:20:54,1.85
STH-0086982,OPP-020814,3,3-Quotation,2025-04-01 06:20:54,,
STH-0086983,OPP-020815,1,1-Enquiry,2025-03-31 12:02:01,2025-04-01 20:49:10,1.37
STH-0086984,OPP-020815,2,2-Test Drive / Demo,2025-04-01 20:49:10,2025-04-03 23:20:31,2.11
STH-0086985,OPP-020815,3,3-Quotation,2025-04-03 23:20:31,2025-04-08 09:45:18,4.43
STH-0086986,OPP-020815,4,4-Negotiation,2025-04-08 09:45:18,2025-04-13 15:08:22,5.22
STH-0086987,OPP-020815,7,7-Closed Lost,2025-04-13 15:08:22,,
STH-0086988,OPP-020816,1,1-Enquiry,2025-04-03 05:20:58,2025-04-09 07:44:48,6.1
STH-0086989,OPP-020816,2,2-Test Drive / Demo,2025-04-09 07:44:48,2025-04-28 21:02:30,19.55
STH-0086990,OPP-020816,3,3-Quotation,2025-04-28 21:02:30,2025-05-05 04:53:37,6.33
STH-0086991,OPP-020816,4,4-Negotiation,2025-05-05 04:53:37,2025-05-14 00:32:07,8.82
STH-0086992,OPP-020816,5,5-Booking / PO,2025-05-14 00:32:07,2025-05-22 15:25:13,8.62
STH-0086993,OPP-020816,6,6-Closed Won,2025-05-22 15:25:13,,
